EVENT_ID,EVENT_DESCRIPTION,EVENT_SOURCE
1100,The event logging service has shut down,Windows
1101,Audit events have been dropped by the transport.,Windows
1102,The audit log was cleared,Windows
1104,The security Log is now full,Windows
1105,Event log automatic backup,Windows
1108,The event logging service encountered an error,Windows
4608,Windows is starting up,Windows
4609,Windows is shutting down,Windows
4610,An authentication package has been loaded by the Local Security Authority,Windows
4611,A trusted logon process has been registered with the Local Security Authority,Windows
4612,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.",Windows
4614,A notification package has been loaded by the Security Account Manager.,Windows
4615,Invalid use of LPC port,Windows
4616,The system time was changed.,Windows
4618,A monitored security event pattern has occurred,Windows
4621,Administrator recovered system from CrashOnAuditFail,Windows
4622,A security package has been loaded by the Local Security Authority.,Windows
4624,An account was successfully logged on,Windows
4625,An account failed to log on,Windows
4626,User/Device claims information,Windows
4627,Group membership information.,Windows
4634,An account was logged off,Windows
4646,IKE DoS-prevention mode started,Windows
4647,User initiated logoff,Windows
4648,A logon was attempted using explicit credentials,Windows
4649,A replay attack was detected,Windows
4650,An IPsec Main Mode security association was established,Windows
4651,An IPsec Main Mode security association was established,Windows
4652,An IPsec Main Mode negotiation failed,Windows
4653,An IPsec Main Mode negotiation failed,Windows
4654,An IPsec Quick Mode negotiation failed,Windows
4655,An IPsec Main Mode security association ended,Windows
4656,A handle to an object was requested,Windows
4657,A registry value was modified,Windows
4658,The handle to an object was closed,Windows
4659,A handle to an object was requested with intent to delete,Windows
4660,An object was deleted,Windows
4661,A handle to an object was requested,Windows
4662,An operation was performed on an object,Windows
4663,An attempt was made to access an object,Windows
4664,An attempt was made to create a hard link,Windows
4665,An attempt was made to create an application client context.,Windows
4666,An application attempted an operation,Windows
4667,An application client context was deleted,Windows
4668,An application was initialized,Windows
4670,Permissions on an object were changed,Windows
4671,An application attempted to access a blocked ordinal through the TBS,Windows
4672,Special privileges assigned to new logon,Windows
4673,A privileged service was called,Windows
4674,An operation was attempted on a privileged object,Windows
4675,SIDs were filtered,Windows
4688,A new process has been created,Windows
4689,A process has exited,Windows
4690,An attempt was made to duplicate a handle to an object,Windows
4691,Indirect access to an object was requested,Windows
4692,Backup of data protection master key was attempted,Windows
4693,Recovery of data protection master key was attempted,Windows
4694,Protection of auditable protected data was attempted,Windows
4695,Unprotection of auditable protected data was attempted,Windows
4696,A primary token was assigned to process,Windows
4697,A service was installed in the system,Windows
4698,A scheduled task was created,Windows
4699,A scheduled task was deleted,Windows
4700,A scheduled task was enabled,Windows
4701,A scheduled task was disabled,Windows
4702,A scheduled task was updated,Windows
4703,A token right was adjusted,Windows
4704,A user right was assigned,Windows
4705,A user right was removed,Windows
4706,A new trust was created to a domain,Windows
4707,A trust to a domain was removed,Windows
4709,IPsec Services was started,Windows
4710,IPsec Services was disabled,Windows
4711,PAStore Engine (1%),Windows
4712,IPsec Services encountered a potentially serious failure,Windows
4713,Kerberos policy was changed,Windows
4714,Encrypted data recovery policy was changed,Windows
4715,The audit policy (SACL) on an object was changed,Windows
4716,Trusted domain information was modified,Windows
4717,System security access was granted to an account,Windows
4718,System security access was removed from an account,Windows
4719,System audit policy was changed,Windows
4720,A user account was created,Windows
4722,A user account was enabled,Windows
4723,An attempt was made to change an account's password,Windows
4724,An attempt was made to reset an accounts password,Windows
4725,A user account was disabled,Windows
4726,A user account was deleted,Windows
4727,A security-enabled global group was created,Windows
4728,A member was added to a security-enabled global group,Windows
4729,A member was removed from a security-enabled global group,Windows
4730,A security-enabled global group was deleted,Windows
4731,A security-enabled local group was created,Windows
4732,A member was added to a security-enabled local group,Windows
4733,A member was removed from a security-enabled local group,Windows
4734,A security-enabled local group was deleted,Windows
4735,A security-enabled local group was changed,Windows
4737,A security-enabled global group was changed,Windows
4738,A user account was changed,Windows
4739,Domain Policy was changed,Windows
4740,A user account was locked out,Windows
4741,A computer account was created,Windows
4742,A computer account was changed,Windows
4743,A computer account was deleted,Windows
4744,A security-disabled local group was created,Windows
4745,A security-disabled local group was changed,Windows
4746,A member was added to a security-disabled local group,Windows
4747,A member was removed from a security-disabled local group,Windows
4748,A security-disabled local group was deleted,Windows
4749,A security-disabled global group was created,Windows
4750,A security-disabled global group was changed,Windows
4751,A member was added to a security-disabled global group,Windows
4752,A member was removed from a security-disabled global group,Windows
4753,A security-disabled global group was deleted,Windows
4754,A security-enabled universal group was created,Windows
4755,A security-enabled universal group was changed,Windows
4756,A member was added to a security-enabled universal group,Windows
4757,A member was removed from a security-enabled universal group,Windows
4758,A security-enabled universal group was deleted,Windows
4759,A security-disabled universal group was created,Windows
4760,A security-disabled universal group was changed,Windows
4761,A member was added to a security-disabled universal group,Windows
4762,A member was removed from a security-disabled universal group,Windows
4763,A security-disabled universal group was deleted,Windows
4764,A groups type was changed,Windows
4765,SID History was added to an account,Windows
4766,An attempt to add SID History to an account failed,Windows
4767,A user account was unlocked,Windows
4768,A Kerberos authentication ticket (TGT) was requested,Windows
4769,A Kerberos service ticket was requested,Windows
4770,A Kerberos service ticket was renewed,Windows
4771,Kerberos pre-authentication failed,Windows
4772,A Kerberos authentication ticket request failed,Windows
4773,A Kerberos service ticket request failed,Windows
