signature_id,action,status,change_type
550,modified,success,filesystem
551,modified,success,filesystem
552,modified,success,filesystem
553,deleted,success,filesystem
554,created,success,filesystem
555,modified,success,filesystem
580,modified,success,filesystem
581,created,success,filesystem
591,modified,success,filesystem
592,modified,success,filesystem
593,deleted,success,filesystem
594,modified,success,filesystem
595,modified,success,filesystem
596,modified,success,filesystem
597,deleted,success,filesystem
598,created,success,filesystem
5303,success,,authentication
5304,success,,authentication
5402,success,,authentication
5503,failure,,authentication
5715,success,,authentication
5716,failure,,authentication
18107,success,,authentication
18149,success,,authentication
